Subject,Title,Credits,Schedule,Instructor,Days,Time,Term
COMP 3007 B,Programming Paradigms,0.5,Lecture,Robert Collier, Tue Thu , 11:35 - 12:55 ,winter2024
COMP 3008 A,Human-Computer Interaction,0.5,Lecture,Nadine Marie Moacdieh, Tue Thu , 10:05 - 11:25 ,winter2024
COMP 3009 A,Computer Graphics,0.5,Lecture,Doron Nussbaum, Mon Wed , 16:05 - 17:25 ,winter2024
COMP 3009 A1,Computer Graphics,0,Laboratory,Doron Nussbaum, Tue , 08:35 - 09:25 ,winter2024
COMP 3203 A,Principles of Computer Network,0.5,Lecture,AbdelRahman Abdou, Wed Fri , 08:35 - 09:55 ,winter2024
COMP 3203 A1,Principles of Computer Network,0,Tutorial,AbdelRahman Abdou, Mon , 13:05 - 14:25 ,winter2024
COMP 3308 A,Bioinformatics,0.5,Lecture,TBA, Fri , 11:35 - 13:25 ,winter2024
COMP 3308 A01,Bioinformatics,0,Other,TBA, Fri , 14:35 - 17:25 ,winter2024
COMP 3804 A,Design & Analy of Algorithms I,0.5,Lecture,Michiel Smid, Tue Thu , 08:35 - 09:55 ,winter2024
COMP 3804 A1,Design & Analy of Algorithms I,0,Tutorial,Michiel Smid, Fri , 10:05 - 11:25 ,winter2024
COMP 3804 B,Design & Analy of Algorithms I,0.5,Lecture,Michiel Smid, Tue Thu , 13:05 - 14:25 ,winter2024
COMP 3804 B1,Design & Analy of Algorithms I,0,Tutorial,Michiel Smid, Fri , 10:05 - 11:25 ,winter2024
COMP 4003 A,Transaction Processing Systems,0.5,Lecture,Mengchi Liu, Tue Thu , 14:35 - 15:55 ,winter2024
COMP 4102 A,Computer Vision,0.5,Lecture,Majid Komeili, Mon Wed , 10:05 - 11:25 ,winter2024
COMP 4107 B,Neural Networks,0.5,Lecture,Matthew Holden, Tue Thu , 11:35 - 12:55 ,winter2024
COMP 4108 B,Computer Systems Security,0.5,Lecture,David Barrera, Wed Fri , 11:35 - 12:55 ,winter2024
COMP 4202 A,Computional Aspects of GIS,0.5,Lecture,Jorg Sack, Tue Thu , 16:05 - 17:25 ,winter2024
COMP 4308 A,Computational Systems Biology,0.5,Lecture,TBA, Wed , 10:05 - 11:25 ,winter2024
COMP 4308 A01,Computational Systems Biology,0,Workshop,TBA, Mon , 10:05 - 11:25 ,winter2024
COMP 4501 A,Real-Time Games,0.5,Lecture,Oliver van Kaick, Tue Thu , 11:35 - 12:55 ,winter2024
COMP 4602 A,Social Networking,0.5,Lecture,Koon-Ho Alan Tsang, Wed Fri , 11:35 - 13:25 ,winter2024
COMP 4900 B,Adv Database Systems,0.5,Other,Mengchi Liu, Mon , 11:35 - 14:25 ,winter2024
COMP 4900 C,Texture & Pattern Synthesis,0.5,Laboratory,David Mould, Tue Thu , 16:05 - 17:25 ,winter2024
COMP 4900 D,Intro to Natural Lang Process,0.5,Lecture,Yuhong Guo, Wed Fri , 08:35 - 09:55 ,winter2024
COMP 4900 E,Real-Time Operating Systems,0.5,Lecture,a, Mon Wed , 13:05 - 14:25 ,winter2024
