Subject,Title,Credits,Schedule,Instructor,Days,Time,Term
COMP 2406 B2,Fundamentals Web Applications,0,Tutorial,Alina Shaikhet, Thu , 13:05 - 14:25 ,fall2023
COMP 2406 B3,Fundamentals Web Applications,0,Tutorial,Alina Shaikhet, Fri , 08:35 - 09:55 ,fall2023
COMP 2801 A,Introduction to Robotics,0.5,Laboratory,Mark Lanthier, Tue Thu , 09:35 - 11:25 ,fall2023
COMP 2804 A,Discrete Structures II,0.5,Lecture,Patrick Morin, Tue Thu , 14:35 - 15:55 ,fall2023
COMP 2804 B,Discrete Structures II,0.5,Lecture,Darryl Hill, Mon Wed , 08:35 - 09:55 ,fall2023
COMP 3000 A,Operating Systems,0.5,Lecture,AbdelRahman Abdou, Mon Wed , 13:05 - 14:25 ,fall2023
COMP 3000 A1,Operating Systems,0,Tutorial,AbdelRahman Abdou, Tue , 08:35 - 09:55 ,fall2023
COMP 3000 A2,Operating Systems,0,Tutorial,AbdelRahman Abdou, Fri , 11:35 - 12:55 ,fall2023
COMP 3000 A3,Operating Systems,0,Tutorial,AbdelRahman Abdou, Thu , 08:35 - 09:55 ,fall2023
COMP 3000 B,Operating Systems,0.5,Lecture,Zinovi Rabinovich, Tue Thu , 08:35 - 09:55 ,fall2023
COMP 3000 B1,Operating Systems,0,Tutorial,Zinovi Rabinovich, Tue , 10:05 - 11:25 ,fall2023
COMP 3000 B2,Operating Systems,0,Tutorial,Zinovi Rabinovich, Wed , 16:05 - 17:25 ,fall2023
COMP 3000 B3,Operating Systems,0,Tutorial,Zinovi Rabinovich, Wed , 14:35 - 15:55 ,fall2023
COMP 3004 A,Object-Oriented Software Engin,0.5,Lecture,TBA, Tue Thu , 16:05 - 17:25 ,fall2023
COMP 3004 B,Object-Oriented Software Engin,0.5,Lecture,TBA, Tue Thu , 13:05 - 14:25 ,fall2023
COMP 3005 B,Database Management Systems,0.5,Lecture,Mengchi Liu, Mon Wed , 10:05 - 11:25 ,fall2023
COMP 3007 A,Programming Paradigms,0.5,Lecture,Douglas Howe, Tue Thu , 10:05 - 11:25 ,fall2023
COMP 3008 A,Human-Computer Interaction,0.5,Lecture,Elizabeth Stobert, Wed Fri , 08:35 - 09:55 ,fall2023
COMP 3105 A,Intro to Machine Learning,0.5,Lecture,Junfeng Wen, Wed Fri , 14:35 - 15:55 ,fall2023
COMP 3106 A,Intro to AI,0.5,Lecture,Matthew Holden, Mon Wed , 08:35 - 09:55 ,fall2023
COMP 3501 A,Foundations of Game Program,0.5,Lecture,David Mould, Mon Wed , 10:05 - 11:25 ,fall2023
COMP 3801 A,Algorithms Modern Data Sets,0.5,Lecture,Anil Maheshwari, Mon Wed , 14:35 - 15:55 ,fall2023
COMP 3803 A,Intro to Theory of Computation,0.5,Lecture,Michiel Smid, Mon Wed , 16:05 - 17:25 ,fall2023
COMP 3804 A,Design & Analy of Algorithms I,0.5,Lecture,Jorg Sack, Tue Thu , 11:35 - 12:55 ,fall2023
COMP 3804 A1,Design & Analy of Algorithms I,0,Tutorial,Jorg Sack, Thu , 17:35 - 18:55 ,fall2023
COMP 3804 B,Design & Analy of Algorithms I,0.5,Lecture,Jorg Sack, Wed Fri , 11:35 - 12:55 ,fall2023
COMP 3804 B1,Design & Analy of Algorithms I,0,Tutorial,Jorg Sack, Fri , 10:05 - 11:25 ,fall2023
COMP 3805 A,Discrete Struct & Appl (Hon.),0.5,Lecture,Daniel Panario, Mon Wed , 13:05 - 14:25 ,fall2023
COMP 3805 A1,Discrete Struct & Appl (Hon.),0,Tutorial,Daniel Panario, Mon , 11:35 - 12:25 ,fall2023
COMP 4001 A,Distributed Computing,0.5,Lecture,Evangelos Kranakis, Thu , 14:35 - 17:25 ,fall2023
COMP 4004 A,Software Quality Assurance,0.5,Lecture,Jean-Pierre Corriveau, Wed Fri , 13:05 - 14:25 ,fall2023
COMP 4114 A,Quantum Computing and Info,0.5,Lecture,Evangelos Kranakis, Mon , 14:35 - 17:25 ,fall2023
COMP 4601 A,Mobile Multimedia,0.5,Lecture,David McKenney, Tue Thu , 09:35 - 11:25 ,fall2023
COMP 4701 A,"Computing, Society, and Ethics",0.5,Lecture,Koon-Ho Alan Tsang, Tue Thu , 11:35 - 12:55 ,fall2023
COMP 4804 A,Design & Analysis of Algor II,0.5,Lecture,Prosenjit Bose, Tue Thu , 08:35 - 09:55 ,fall2023
COMP 4805 A,Theory of Automata,0.5,Lecture,Steven Wang, Tue Thu , 14:35 - 15:55 ,fall2023
COMP 4900 B,Multiagent Systems,0.5,Other,Koon-Ho Alan Tsang, Tue Thu , 13:05 - 14:25 ,fall2023
COMP 4900 C,Intro to Reinforcement Lrning,0.5,Other,Junfeng Wen, Mon Wed , 08:35 - 09:55 ,fall2023
COMP 4900 D,Geometry Processing,0.5,Laboratory,Oliver van Kaick, Mon Wed , 10:05 - 11:25 ,fall2023
COMP 4900 F,Knowledge Rep for AI,0.5,Lecture,Leopoldo Bertossi, Mon , 18:05 - 20:55 ,fall2023
COMP 4900 G,Algorithms for Data Science,0.5,Lecture,Anil Maheshwari, Tue , 08:35 - 11:25 ,fall2023
